Date,Open,High,Low,Close,Volume,Return,label
2017-01-03,757.92,758.7595,747.7,753.67,3519877,0.51%,0
2017-01-04,758.39,759.68,754.2,757.18,2505296,0.47%,1
2017-01-05,761.55,782.3999,760.2557,780.45,5820195,3.07%,0
2017-01-06,782.36,799.44,778.48,795.99,5981169,1.99%,0
2017-01-09,798,801.7742,791.77,796.92,3442864,0.12%,0
2017-01-10,796.6,798,789.5434,795.9,2557640,-0.13%,0
2017-01-11,793.66,799.5,789.51,799.02,2986267,0.39%,0
2017-01-12,800.31,814.13,799.5,813.64,4865798,1.83%,0
2017-01-13,814.32,821.65,811.4,817.14,3777135,0.43%,0
2017-01-17,815.7,816,803.44,809.72,3668111,-0.91%,0
2017-01-18,809.5,811.73,804.27,807.48,2344879,-0.28%,0
2017-01-19,810,813.51,807.32,809.04,2529569,0.19%,0
2017-01-20,815.28,816.02,806.26,808.33,3373183,-0.09%,0
2017-01-23,806.8,818.5,805.08,817.88,2794228,1.18%,0
2017-01-24,822,823.99,814.5,822.44,2967753,0.56%,0
2017-01-25,825.79,837.4183,825.288,836.52,3931475,1.71%,0
2017-01-26,835.53,843.84,833,839.15,3571395,0.31%,0
2017-01-27,839,839.7,829.44,835.77,2994700,-0.40%,0
2017-01-30,833,833.5,816.38,830.38,3681441,-0.64%,0
2017-01-31,823.75,826.99,819.56,823.48,3129269,-0.83%,0
2017-02-01,829.21,833.78,824.94,832.35,3831319,1.08%,0
2017-02-02,836.59,842.49,828.26,839.95,7043095,0.91%,-1
2017-02-03,806.72,818.3,804,810.2,10855610,-3.54%,0
2017-02-06,809.8,810.72,803,807.64,3827284,-0.32%,0
2017-02-07,809.31,816.16,807.5,812.5,3463842,0.60%,0
2017-02-08,812.69,821.479,812.5,819.71,2856058,0.89%,0
2017-02-09,821.6,825,819.71,821.36,2482464,0.20%,0
2017-02-10,823.82,828,822.85,827.46,2427817,0.74%,0
2017-02-13,831.62,842.9999,828.55,836.53,4167521,1.10%,0
2017-02-14,837,838.31,831.4522,836.39,2789377,-0.02%,0
2017-02-15,834,842.81,832.82,842.7,2960469,0.75%,0
2017-02-16,841.84,845,839.375,844.14,2710595,0.17%,0
2017-02-17,842,847.27,840.73,845.07,3036616,0.11%,0
2017-02-21,848.84,857.98,847.25,856.44,3506621,1.35%,0
2017-02-22,856.95,858.43,852.18,855.61,2615385,-0.10%,0
2017-02-23,857.57,860.86,848,852.19,3459287,-0.40%,0
2017-02-24,844.69,845.81,837.7501,845.24,3684473,-0.82%,0
2017-02-27,842.38,852.5,839.67,848.64,2703855,0.40%,0
2017-02-28,851.45,854.09,842.05,845.04,2787892,-0.42%,0
2017-03-01,853.05,854.83,849.01,853.08,2758169,0.95%,0
2017-03-02,853.08,854.82,847.28,848.91,2130010,-0.49%,0
2017-03-03,847.2,851.985,846.27,849.88,1948195,0.11%,0
2017-03-06,845.23,848.49,841.12,846.61,2609139,-0.38%,0
2017-03-07,845.48,848.46,843.75,846.02,2246216,-0.07%,0
2017-03-08,848,853.07,846.79,850.5,2286974,0.53%,0
2017-03-09,851,856.3999,850.31,853,2043932,0.29%,0
2017-03-10,857,857.35,851.72,852.46,2434254,-0.06%,0
2017-03-13,851.77,855.69,851.71,854.59,1906941,0.25%,0
2017-03-14,853.55,853.75,847.55,852.53,2129358,-0.24%,0
2017-03-15,854.33,854.45,847.11,852.97,2559702,0.05%,0
2017-03-16,855.3,855.5,850.51,853.42,1841507,0.05%,0
2017-03-17,853.49,853.83,850.64,852.31,3383423,-0.13%,0
2017-03-20,851.51,857.8,851.01,856.97,2261699,0.55%,-1
2017-03-21,858.84,862.795,841.31,843.2,4376927,-1.61%,0
2017-03-22,840.43,849.37,839.05,848.06,2652225,0.58%,0
2017-03-23,848.2,850.89,844.8,847.38,1947627,-0.08%,0
2017-03-24,851.68,851.8,843.53,845.61,2135812,-0.21%,0
2017-03-27,838.07,850.3,833.5,846.82,2754903,0.14%,0
2017-03-28,851.75,858.46,850.1,856,3037117,1.08%,0
2017-03-29,859.05,876.438,859.02,874.32,4479102,2.14%,0
2017-03-30,874.95,877.06,871.66,876.34,2758154,0.23%,0
2017-03-31,877,890.35,876.65,886.54,3949283,1.16%,0
2017-04-03,888,893.49,885.42,891.51,3418998,0.56%,0
2017-04-04,891.5,908.5384,890.28,906.83,4976736,1.72%,0
2017-04-05,910.82,923.72,905.62,909.28,7497229,0.27%,0
2017-04-06,913.8,917.1899,894.4927,898.28,6338183,-1.21%,0
2017-04-07,899.65,900.09,889.31,894.88,3708367,-0.38%,0
2017-04-10,899.63,908.51,899,907.04,3180999,1.36%,0
2017-04-11,907.04,911.24,897.5,902.36,3008307,-0.52%,0
2017-04-12,903.09,904.09,895.2501,896.23,2451575,-0.68%,0
2017-04-13,891.45,894.97,884.49,884.67,3169025,-1.29%,0
2017-04-17,887.5,902.38,887.5,901.99,2849145,1.96%,0
2017-04-18,900.99,909.61,900.78,903.78,2996639,0.20%,0
2017-04-19,907.84,910.5,897.369,899.2,2865603,-0.51%,0
2017-04-20,899.7,905.32,896.29,902.06,2808837,0.32%,0
2017-04-21,902.67,903.65,896.77,898.53,2408664,-0.39%,0
2017-04-24,908.68,909.99,903.82,907.41,3118154,0.99%,0
2017-04-25,907.04,909.48,903,907.62,3375239,0.02%,0
2017-04-26,910.3,915.749,907.56,909.29,2603720,0.18%,0
2017-04-27,914.39,921.86,912.11,918.38,5195293,1.00%,0
2017-04-28,948.83,949.59,924.3335,924.99,7354916,0.72%,0
2017-05-01,927.8,954.4,927.8,948.23,5459454,2.51%,0
2017-05-02,946.645,950.1,941.413,946.94,3814589,-0.14%,0
2017-05-03,946,946,935.9,941.03,3578108,-0.62%,0
2017-05-04,944.75,945,934.215,937.53,2413486,-0.37%,0
2017-05-05,940.52,940.79,930.3,934.15,2863978,-0.36%,0
2017-05-08,940.95,949.05,939.21,949.04,3406954,1.59%,0
2017-05-09,952.8,957.89,950.2,952.82,3256357,0.40%,0
2017-05-10,953.5,953.7499,945,948.95,2093334,-0.41%,0
2017-05-11,945.11,950.29,940.775,947.62,2190678,-0.14%,0
2017-05-12,954.5,962.79,951.53,961.35,3622639,1.45%,0
2017-05-15,958.73,963.15,956.055,957.97,4261618,-0.35%,0
2017-05-16,961,970.06,960.91,966.07,3114640,0.85%,-1
2017-05-17,954.7,960.3957,944.12,944.76,5129887,-2.21%,0
2017-05-18,944.8,962.75,944.76,958.49,3898729,1.45%,0
2017-05-19,962.84,968.92,959.72,959.84,3967552,0.14%,0
2017-05-22,964,971.38,962.9,970.67,2631854,1.13%,0
2017-05-23,975.02,975.2,966.85,971.54,2412406,0.09%,0
2017-05-24,976,981,970.23,980.35,2455977,0.91%,0
2017-05-25,984.85,999,982.11,993.38,4817312,1.33%,0
2017-05-26,995,998.65,989.2491,995.78,3462132,0.24%,0
2017-05-30,996.51,1001.2,995.52,996.7,3256230,0.09%,0
2017-05-31,1000,1000.12,982.16,994.62,3913721,-0.21%,0
2017-06-01,998.59,998.99,991.37,995.95,2451407,0.13%,0
2017-06-02,998.99,1008.48,995.67,1006.73,3749489,1.08%,0
2017-06-05,1007.23,1013.21,1003.51,1011.34,2717283,0.46%,0
2017-06-06,1012,1016.5,1001.25,1003,3341855,-0.82%,0
2017-06-07,1005.95,1010.249,1002,1010.07,2818880,0.70%,0
2017-06-08,1012.06,1013.61,1006.11,1010.27,2756796,0.02%,-1
2017-06-09,1012.5,1012.99,927,978.31,7634038,-3.16%,0
2017-06-12,967,975.95,945,964.91,9437061,-1.37%,0
2017-06-13,977.99,984.5,966.1,980.79,4569183,1.65%,0
2017-06-14,988.59,990.34,966.71,976.47,3965444,-0.44%,0
2017-06-15,958.7,965.73,950.86,964.17,5230302,-1.26%,0
2017-06-16,996,999.75,982,987.71,11439080,2.44%,0
2017-06-19,1017,1017,989.9,995.17,5019791,0.76%,0
2017-06-20,998,1004.88,992.02,992.59,4069195,-0.26%,0
2017-06-21,998.7,1002.72,992.6518,1002.23,2916743,0.97%,0
2017-06-22,1002.23,1006.9599,997.2,1001.3,2249784,-0.09%,0
2017-06-23,1002.54,1004.62,998.02,1003.74,2876508,0.24%,0
2017-06-26,1008.5,1009.8,992,993.98,3382126,-0.97%,-1
2017-06-27,990.69,998.8,976,976.78,3759865,-1.73%,0
2017-06-28,978.55,990.68,969.21,990.33,3721937,1.39%,0
2017-06-29,979,987.56,965.25,975.93,4295828,-1.45%,0
2017-06-30,980.12,983.47,967.61,968,3383436,-0.81%,0
2017-07-03,972.79,974.49,951.0001,953.66,2909108,-1.48%,0
2017-07-05,961.53,975,955.25,971.4,3648765,1.86%,0
2017-07-06,964.66,974.4,959.02,965.14,3257432,-0.64%,0
2017-07-07,969.55,980.11,969.14,978.76,2589778,1.41%,0
2017-07-10,985,999.4392,983.5,996.47,3515968,1.81%,0
2017-07-11,993,995.99,983.72,994.13,2978422,-0.23%,0
2017-07-12,1000.65,1008.55,998.1,1006.51,3605227,1.25%,0
2017-07-13,1004.62,1006.88,995.9,1000.63,2877854,-0.58%,0
2017-07-14,1002.4,1004.45,996.89,1001.81,2100941,0.12%,0
2017-07-17,1004.69,1014.75,1003.81,1010.04,3685206,0.82%,0
2017-07-18,1006,1026.03,1004,1024.45,4002293,1.43%,0
2017-07-19,1025,1031.59,1022.5,1026.87,2955263,0.24%,0
2017-07-20,1031.59,1034.97,1022.515,1028.7,3074300,0.18%,0
2017-07-21,1021.28,1026.1,1011,1025.67,2726844,-0.29%,0
2017-07-24,1028.34,1043.01,1027.4279,1038.95,3277624,1.29%,0
2017-07-25,1038.05,1043.3346,1032.48,1039.87,2444862,0.09%,0
2017-07-26,1043.2,1053.2,1043.2,1052.8,2881423,1.24%,0
2017-07-27,1069.55,1083.31,1040.18,1046,10830380,-0.65%,-1
2017-07-28,1012.14,1032.85,1001,1020.04,7674669,-2.48%,-1
2017-07-31,1019.05,1019.05,987.02,987.78,7326177,-3.16%,0
2017-08-01,996.11,1006.4,991.58,996.19,4527979,0.85%,0
2017-08-02,1001.77,1003.21,981.73,995.89,4061270,-0.03%,0
2017-08-03,999.47,999.5,984.59,986.92,3252699,-0.90%,0
2017-08-04,989.68,991.672,982,987.58,2726739,0.07%,0
2017-08-07,990.65,995,987.14,992.27,2670187,0.47%,0
2017-08-08,994.35,996.28,985.79,989.84,2886062,-0.24%,0
2017-08-09,982.6,988,975.27,982.01,3568120,-0.79%,-1
2017-08-10,976.295,979.86,954.68,956.92,5600182,-2.55%,0
2017-08-11,960,970.39,951.38,967.99,3464615,1.16%,0
2017-08-14,978.41,985.5,976.19,983.3,3168461,1.58%,0
2017-08-15,988.9,991.74,982,982.74,2544452,-0.06%,0
2017-08-16,981.65,986.4605,973.22,978.18,3125408,-0.46%,-1
2017-08-17,977.84,977.84,960.32,960.57,3456073,-1.80%,0
2017-08-18,961.4,965.43,954.65,958.47,3275276,-0.22%,0
2017-08-21,957.57,961.2,945.46,953.29,3156891,-0.54%,0
2017-08-22,955.52,967.93,955.495,966.9,2745796,1.43%,0
2017-08-23,959.38,962,954.2,958,2642936,-0.92%,0
2017-08-24,957.42,959,941.14,952.45,5186993,-0.58%,0
2017-08-25,956,957.621,944.1,945.26,3316602,-0.75%,0
2017-08-28,946.54,953,942.25,946.02,2576456,0.08%,0
2017-08-29,940,956,936.33,954.06,2871568,0.85%,0
2017-08-30,958.44,969.41,956.9062,967.59,2897969,1.42%,0
2017-08-31,974.7,981,972.76,980.6,3314687,1.34%,0
2017-09-01,984.2,984.5,976.875,978.25,2533779,-0.24%,0
2017-09-05,975.4,976.7699,960.37,965.27,2996501,-1.33%,0
2017-09-06,968.32,971.84,960.6,967.8,2125371,0.26%,0
2017-09-07,974,980.59,972.55,979.47,2562517,1.21%,0
2017-09-08,979.1,979.88,963.47,965.9,2589038,-1.39%,0
2017-09-11,974.46,981.94,974.22,977.96,2171998,1.25%,0
2017-09-12,983.27,984.6718,975.517,982.58,2475557,0.47%,0
2017-09-13,983.97,1000,979.42,999.6,3360247,1.73%,0
2017-09-14,996.8,998.56,987.74,992.21,3899558,-0.74%,0
2017-09-15,993.01,996.25,984.03,986.79,3749512,-0.55%,0
2017-09-18,990.4,992.7922,968.17,974.19,3400701,-1.28%,0
2017-09-19,977.25,978.24,967.46,969.86,2629721,-0.44%,0
2017-09-20,971.79,974.81,962.1626,973.21,2752256,0.35%,0
2017-09-21,971.31,971.7,962.02,964.65,2276374,-0.88%,0
2017-09-22,961.01,965.61,954.42,955.1,2629433,-0.99%,-1
2017-09-25,949.31,949.42,932.89,939.79,5115097,-1.60%,0
2017-09-26,945.49,948.63,931.75,938.6,3504345,-0.13%,0
2017-09-27,948,955.3,943.3,950.87,3145310,1.31%,0
2017-09-28,951.86,959.7,950.101,956.4,2521285,0.58%,0
2017-09-29,960.11,964.83,958.375,961.35,2509194,0.52%,0
2017-10-02,964,967.305,952.1201,959.19,2425585,-0.22%,0
2017-10-03,958,963.69,950.37,957.1,2664290,-0.22%,0
2017-10-04,954.21,967.79,954.05,965.45,2518509,0.87%,0
2017-10-05,970,981.51,969.64,980.85,3220080,1.60%,0
2017-10-06,975.64,995.75,975.64,989.58,3747408,0.89%,0
2017-10-09,993.24,998.5,987.5,990.99,2936073,0.14%,0
2017-10-10,996.67,997.95,980.099,987.2,3082929,-0.38%,0
2017-10-11,991.27,995.5,986.695,995,2335062,0.79%,0
2017-10-12,996.81,1008.44,992.4,1000.93,4083076,0.60%,0
2017-10-13,1007,1007.77,1001.03,1002.94,2429175,0.20%,0
2017-10-16,1008.44,1009.5717,1001.04,1006.34,2004816,0.34%,0
2017-10-17,1005.59,1011.4699,1004.38,1009.13,2318762,0.28%,0
2017-10-18,1009.27,1022.31,996.55,997,2496848,-1.20%,0
2017-10-19,990,991.05,980.24,986.61,3084459,-1.04%,0
2017-10-20,993.53,994.62,982,982.91,2343556,-0.38%,-1
2017-10-23,986.73,986.775,962.5,966.3,3482123,-1.69%,0
2017-10-24,969,979.85,965,975.9,2713262,0.99%,0
2017-10-25,978,984.44,966.24,972.91,3029395,-0.31%,0
2017-10-26,980.33,982.9,968.55,972.43,5392856,-0.05%,1
2017-10-27,1058.14,1105.58,1050.55,1100.95,16547950,13.22%,0
2017-10-30,1095.01,1122.79,1093.56,1110.85,6608244,0.90%,0
2017-10-31,1109,1110.54,1101.1201,1105.28,3474886,-0.50%,0
2017-11-01,1105.4,1108.97,1096.74,1103.68,3743189,-0.14%,0
2017-11-02,1097.81,1101.935,1086.8691,1094.22,3683447,-0.86%,0
2017-11-03,1091.15,1112.68,1088.52,1111.6,3739141,1.59%,0
2017-11-06,1109.15,1125.41,1108.77,1120.66,3331032,0.82%,0
2017-11-07,1124.74,1130.6,1117.5,1123.17,2684125,0.22%,0
2017-11-08,1122.82,1135.54,1119.11,1132.88,2575956,0.86%,0
2017-11-09,1125.96,1129.6209,1115.77,1129.13,3729458,-0.33%,0
2017-11-10,1126.1,1131.75,1124.06,1125.35,2178670,-0.33%,0
,,,,,,,
